maturity_yrs,zero_rate,fwd_rate,nss_zero,discount_factor
0.08,0.036828111338426735,0.03718713444301464,0.037540660847863214,0.9970580870249468
0.23035175879396985,0.03758775006523814,0.03803005722889162,0.03764308471721303,0.991378971696136
0.38070351758793974,0.0377714287114505,0.03807284856677316,0.037747216720281834,0.9857231785506234
0.5310552763819095,0.0378488289617502,0.03798245791859755,0.037852969091332,0.9801008344398426
0.6814070351758794,0.03786701448431903,0.03788665911133891,0.037960256209045015,0.9745271986392775
0.8317587939698493,0.03786489978548751,0.03783059488944684,0.03806899455442704,0.9689963214039149
0.9821105527638191,0.03785921133240076,0.03810483759846481,0.03817910266944177,0.963500828763408
1.1324623115577892,0.038274845758546235,0.04263001384207958,0.038290501116377475,0.9575811397137731
1.282814070351759,0.03881821489081665,0.04293925312254577,0.03840311243793246,0.9514229696763791
1.4331658291457288,0.03924619023355932,0.042841607337139674,0.03851686111801248,0.9453062794444851
1.5835175879396988,0.039579474934373894,0.04265657460632985,0.03863167354321681,0.9392488727579661
1.7338693467336685,0.03983512445049331,0.04238415496245278,0.03874747796501561,0.9332623749578325
1.8842211055276383,0.04002475046615688,0.04202434835967123,0.038864204462593824,0.9273581079260742
2.0345728643216083,0.04015616448442762,0.04153666297543926,0.03898178490635974,0.9215477895629178
2.1849246231155783,0.040232114742604554,0.04102152585699779,0.039100152922104135,0.9158486674710755
2.335276381909548,0.040272541635105706,0.040736960096664644,0.03921924385579518,0.9102395108916501
2.485628140703518,0.04029781905296679,0.040679370610410014,0.03933899473900864,0.9046877765934896
2.635979899497488,0.040321783247919636,0.040778021606247696,0.039459344254969816,0.8991661814445855
2.7863316582914575,0.04035195996724225,0.041005489464615255,0.03958023270520773,0.8936563769437492
2.9366834170854275,0.04039399014953802,0.041361774183754585,0.03970160197680544,0.8881413586215796
3.0870351758793975,0.04044902354237997,0.04160016693580277,0.03982339551023813,0.8826137895336114
3.237386934673367,0.04050477406613959,0.041702081694136084,0.0399455582677894,0.8771040712192443
3.387738693467337,0.04056054536257203,0.041824105127933935,0.04006803670253586,0.8716140738028706
3.538090452261307,0.0406171893049182,0.041966237237049106,0.04019077872789101,0.8661412394392184
3.6884422110552766,0.04067541886697832,0.04212847802131012,0.04031373368769616,0.8606830748670475
3.8387939698492466,0.04073583532407061,0.04231082746941899,0.040436852326854435,0.8552371509279486
3.9891457286432166,0.04079894930272996,0.04251328559225794,0.04056008676249385,0.8498011021550363
4.139497487437186,0.040865197243097603,0.042735852380378345,0.04068339045565203,0.8443726264282665
4.289849246231157,0.04093495439944174,0.04297852785193116,0.040806718183476025,0.8389494846931401
4.440201005025126,0.04100854519937721,0.043241311997409354,0.040930026011925594,0.833529500739586
4.590552763819096,0.04108625156734777,0.04352420480539366,0.0410532712689718,0.8281105610378321
4.740904522613066,0.04116831966429612,0.04382720628664496,0.041176412518284654,0.8226906146281018
4.891256281407036,0.04125496538431436,0.044150316451899915,0.041299409533399785,0.8172676730609794
5.041608040201005,0.04134646761652416,0.04451428722690578,0.041422223272355785,0.8118394471386431
5.191959798994976,0.04144409699968668,0.044914830189452,0.041544815852795555,0.8063994324050857
5.342311557788945,0.0415469541509276,0.045276311774512044,0.04166715052752328,0.8009499859699325
5.492663316582915,0.04165354053325798,0.04559873198293313,0.04178919166050848,0.7954964656900255
5.643015075376885,0.04176251731698634,0.045882090804368676,0.041910904703331024,0.7900440980160818
5.793366834170855,0.041872684655782436,0.04612638826168723,0.042032256172057796,0.7845979778249216
5.943718592964824,0.041982964108125645,0.04633162432215469,0.04215321362454593,0.7791630685847267
6.094070351758795,0.04209238366092169,0.04649779900845649,0.04227374563816338,0.7737442028394669
6.244422110552764,0.042200064916706796,0.04662491233208433,0.04239382178792055,0.7683460829986802
6.394773869346734,0.04230521208835264,0.04671296427113167,0.04251341262500582,0.762973282418895
6.545125628140704,0.04240710251062414,0.0467619548369071,0.04263248965571898,0.7576302467631322
6.695477386934674,0.04250508060134873,0.046773064073372256,0.04275102532079355,0.7523212846885081
6.8458291457286435,0.042598816335554734,0.046773064073372256,0.042868992975103874,0.7470492105490254
6.996180904522614,0.042688523205243946,0.046773064073372256,0.042986366867748906,0.7418140817496491
7.1465326633165835,0.04277446868123286,0.04677608989457751,0.043103122122506825,0.7366155699621452
7.296884422110553,0.0428570759081913,0.04679366066740525,0.04321923471865375,0.7314524020757609
7.4472361809045236,0.04293686051853666,0.04682689863752914,0.04333468147213985,0.7263226501798522
7.597587939698493,0.043014300130442704,0.04687580379381572,0.04344944001711907,0.7212244200632165
7.747939698492464,0.043089835288623556,0.04694037613621902,0.043563488787822686,0.7161558662393015
7.898291457286433,0.043163872992982785,0.04702061567578056,0.04367680700077455,0.711115191227151
8.048643216080402,0.04323678983176349,0.047116522412424915,0.04378937463733881,0.706100644878119
8.198994974874372,0.04330893476996711,0.04722809634606192,0.04390117242659722,0.701110523746392
8.349346733668343,0.043380631636496046,0.04735533745438226,0.0440121818285483,0.696143170501399
